"","Group","Total.Revenue","Total.Expenses","Total.Subsidy","Revenue.Less.Expenses"
"1",1,111484870.473684,101022331.842105,2847542.47368421,10462538.6315789
"2",2,29029389.3606557,28992126.1639344,16917315.0327869,37263.1967213115
"3",3,70336675.6969697,69312545.3333333,7926105.39393939,1024130.36363636
"4",4,11725907.0434783,11708356.6173913,8314114.70434783,17550.4260869565
